N,d,l,o,r,m,estimate,target
500,3,1.75,1.4142135623730951,9,Sfit,0.3870442691737359,0.0
1000,3,1.75,1.4142135623730951,9,Sfit,0.21873800552525385,0.0
500,4,1.75,1.4142135623730951,9,Sfit,0.03549683392603235,0.0
1000,4,1.75,1.4142135623730951,9,Sfit,-0.19858667326775178,0.0
500,1,0.75,1.0,10,Sfit,0.03329833481486261,0.0
1000,1,0.75,1.0,10,Sfit,0.10140794787426263,0.0
500,2,0.75,1.0,10,Sfit,0.018729638022346083,0.0
1000,2,0.75,1.0,10,Sfit,0.06911194816182409,0.0
500,3,0.75,1.0,10,Sfit,0.05298853885269349,0.0
1000,3,0.75,1.0,10,Sfit,0.0030882701238292313,0.0
500,4,0.75,1.0,10,Sfit,0.0841683688406552,0.0
1000,4,0.75,1.0,10,Sfit,-0.07729571647727476,0.0
500,1,1.75,1.0,10,Sfit,0.17664580676097003,0.0
1000,1,1.75,1.0,10,Sfit,-0.05352463426676608,0.0
500,2,1.75,1.0,10,Sfit,-0.2216570726100809,0.0
1000,2,1.75,1.0,10,Sfit,-0.05981809878146069,0.0
500,3,1.75,1.0,10,Sfit,-0.0713277340645344,0.0
1000,3,1.75,1.0,10,Sfit,0.20557181775967742,0.0
500,4,1.75,1.0,10,Sfit,-0.14964501306823783,0.0
1000,4,1.75,1.0,10,Sfit,-0.05501939493212113,0.0
500,1,0.75,1.4142135623730951,10,Sfit,0.025890999260974483,0.0
1000,1,0.75,1.4142135623730951,10,Sfit,-0.045703518477014156,0.0
500,2,0.75,1.4142135623730951,10,Sfit,0.2145150724697245,0.0
1000,2,0.75,1.4142135623730951,10,Sfit,-0.035383551912812165,0.0
500,3,0.75,1.4142135623730951,10,Sfit,0.17531481729923332,0.0
1000,3,0.75,1.4142135623730951,10,Sfit,0.13878126266541946,0.0
500,4,0.75,1.4142135623730951,10,Sfit,-0.14970987545981737,0.0
1000,4,0.75,1.4142135623730951,10,Sfit,-0.09000841051541093,0.0
500,1,1.75,1.4142135623730951,10,Sfit,-0.05002257538919859,0.0
1000,1,1.75,1.4142135623730951,10,Sfit,0.08245298718471784,0.0
500,2,1.75,1.4142135623730951,10,Sfit,0.3653580493074692,0.0
1000,2,1.75,1.4142135623730951,10,Sfit,0.17617720135648815,0.0
500,3,1.75,1.4142135623730951,10,Sfit,-0.11108844855314684,0.0
1000,3,1.75,1.4142135623730951,10,Sfit,-0.020161586060724254,0.0
500,4,1.75,1.4142135623730951,10,Sfit,0.19836528705320164,0.0
1000,4,1.75,1.4142135623730951,10,Sfit,0.06718783818727625,0.0
500,1,0.75,1.0,11,Sfit,-0.028043561892489244,0.0
